Competition,Home,Away,Date,Time,HGFT,AGFT,HG1st,AG1st,HG2nd,AG2nd,HGET,AGET,HGP,HGP,Finished,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HxG,AxG,bet365-H,bet365-D,bet365-A,Betfair_Exch-H,Betfair_Exch-D,Betfair_Exch-A,H-Max,D-Max,A-Max,H-Avg,D-Avg,A-Avg
World Cup 2026,Jordan,Argentina,2026-06-28 00:00:00,03:00:00,1,3,,2,1,1,,,,,90 minutes,5,12,1,4,13,7,2,6,3,,,,0.76,2.13,21,9,1.11,25,9.8,1.16,21,9,1.15,19.03,8.45,1.13
World Cup 2026,South Africa,Canada,2026-06-28 00:00:00,20:00:00,,1,,,,1,,,,,90 minutes,6,12,1,7,10,16,1,4,,2,,,0.14,1.38,5,3.25,1.83,5.3,3.45,1.89,5.1,3.5,1.85,4.68,3.3,1.82
World Cup 2026,Brazil,Japan,2026-06-29 00:00:00,18:00:00,2,1,,1,2,,,,,,90 minutes,19,5,7,2,4,13,6,2,2,3,,,2.07,0.33,1.75,3.5,5,1.81,3.65,5.6,1.8,3.56,5.2,1.75,3.47,4.96
World Cup 2026,Germany,Paraguay,2026-06-29 00:00:00,21:30:00,1,1,,1,1,,,,3,4,Penalties,21,7,6,3,18,12,16,6,2,2,,,1.57,0.35,1.33,5,9.5,1.37,5.3,12,1.37,5.3,10,1.33,5.06,9.16
World Cup 2026,Netherlands,Morocco,2026-06-30 00:00:00,02:00:00,1,1,,,1,1,,,2,3,Penalties,6,11,2,5,18,15,5,8,,1,,,0.24,1.38,2.35,3.1,3.3,2.48,3.1,3.55,2.44,3.1,3.35,2.34,3.05,3.24
World Cup 2026,Ivory Coast,Norway,2026-06-30 00:00:00,18:00:00,1,2,,1,1,1,,,,,90 minutes,14,9,5,4,6,7,14,3,,1,,,1.49,1.91,3.7,3.3,2.1,3.85,3.4,2.22,3.7,3.4,2.15,3.52,3.29,2.1
World Cup 2026,France,Sweden,2026-06-30 00:00:00,22:00:00,3,,1,,2,,,,,,90 minutes,25,8,12,3,14,10,9,1,,,,,3.24,0.7,1.29,5.75,10,1.3,6.2,12.5,1.32,6.2,11,1.28,5.82,9.47
World Cup 2026,Mexico,Ecuador,2026-07-01 00:00:00,02:00:00,2,,2,,,,,,,,90 minutes,15,7,3,1,10,14,3,8,,3,,1,1.05,0.75,2.3,2.7,4.1,2.34,2.84,4.4,2.32,2.83,4.1,2.25,2.75,3.9
World Cup 2026,England,D.R. Congo,2026-07-01 00:00:00,17:00:00,2,1,,1,2,,,,,,90 minutes,16,7,7,2,10,12,5,3,1,1,,,2.15,0.77,1.29,5.25,13,1.31,5.4,17,1.32,5.25,14,1.28,5.09,12.09
World Cup 2026,Belgium,Senegal,2026-07-01 00:00:00,21:00:00,2,2,,1,2,1,1,,,,Extra time,19,19,5,5,22,12,4,2,1,1,,,1.75,3.58,1.91,3.4,4.2,2,3.55,4.4,2,3.55,4.25,1.92,3.39,4.02
World Cup 2026,USA,Bosnia & Herzegovina,2026-07-02 00:00:00,01:00:00,2,,1,,1,,,,,,90 minutes,8,10,2,3,7,13,4,3,,1,1,,0.88,0.25,1.33,5.25,9,1.39,5.4,10,1.37,5.3,9.2,1.34,5.07,8.44
World Cup 2026,Spain,Austria,2026-07-02 00:00:00,20:00:00,3,,1,,2,,,,,,90 minutes,23,5,10,,8,15,9,,,1,,,2.8,0.32,1.33,5,10,1.37,5.3,11.5,1.35,5.25,11.5,1.33,5.04,9.53
World Cup 2026,Portugal,Croatia,2026-07-03 00:00:00,00:00:00,2,1,,,2,1,,,,,90 minutes,15,13,3,6,6,12,9,5,1,2,,,2.2,1.34,1.7,3.6,5.5,1.73,3.8,6,1.74,3.75,5.5,1.67,3.67,5.23
World Cup 2026,Switzerland,Algeria,2026-07-03 00:00:00,04:00:00,2,,1,,1,,,,,,90 minutes,11,8,5,2,10,12,4,2,,2,,,2.45,0.74,1.95,3.1,4.5,2.04,3.3,4.7,2.05,3.3,4.6,1.95,3.18,4.24
World Cup 2026,Australia,Egypt,2026-07-03 00:00:00,19:00:00,1,1,,1,1,,,,2,4,Penalties,16,14,1,3,12,14,4,7,,2,,,0.84,1.33,3.6,2.88,2.35,3.85,2.92,2.48,3.74,2.9,2.45,3.5,2.81,2.37
World Cup 2026,Argentina,Cape Verde,2026-07-03 00:00:00,23:00:00,1,1,1,,,1,2,1,,,Extra time,22,16,10,5,13,12,8,8,1,1,,,2.26,0.47,1.14,8,19,1.15,9.6,30,1.15,9.5,23.5,1.13,8.13,20.16
World Cup 2026,Colombia,Ghana,2026-07-04 00:00:00,02:30:00,1,,1,,,,,,,,90 minutes,20,8,8,,14,10,3,2,2,3,,,2.04,0.27,1.45,4.1,8.5,1.47,4.4,10,1.48,4.4,9.2,1.42,4.19,8.13
World Cup 2026,Canada,Morocco,2026-07-04 00:00:00,18:00:00,,3,,,,3,,,,,90 minutes,10,5,3,4,24,14,11,1,4,4,,,0.84,0.82,5,3.25,1.83,5.6,3.35,1.89,5.25,3.4,1.89,4.89,3.26,1.82
World Cup 2026,Paraguay,France,2026-07-04 00:00:00,22:00:00,,1,,,,1,,,,,90 minutes,5,15,,5,13,11,2,12,,3,,,0.13,1.46,17,6.5,1.18,22,7,1.22,18,6.75,1.22,14.94,6.37,1.2
World Cup 2026,Brazil,Norway,2026-07-05 00:00:00,21:00:00,1,2,,,1,2,,,,,90 minutes,14,9,4,5,7,6,5,5,1,,,,2.62,1.06,1.75,3.6,4.75,1.82,3.85,5.1,1.8,3.9,4.85,1.75,3.68,4.55
World Cup 2026,Mexico,England,2026-07-06 00:00:00,02:00:00,2,3,1,2,1,1,,,,,90 minutes,20,6,5,5,14,7,12,2,2,4,,1,1.88,1.61,3,3,2.6,3.15,3.15,2.68,3.1,3.15,2.62,2.98,3,2.52
World Cup 2026,Portugal,Spain,2026-07-06 00:00:00,20:00:00,,1,,,,1,,,,,90 minutes,10,15,2,6,9,13,3,7,2,1,,,0.63,1.68,3.9,3.5,1.95,4.2,3.6,2.04,3.9,3.6,2,3.78,3.47,1.96
World Cup 2026,USA,Belgium,2026-07-07 00:00:00,01:00:00,1,4,1,2,,2,,,,,90 minutes,7,15,2,7,11,9,3,5,2,,,,0.63,2.01,2.55,3.2,2.9,2.7,3.3,3,2.6,3.4,2.94,2.52,3.19,2.83
World Cup 2026,Argentina,Egypt,2026-07-07 00:00:00,17:00:00,3,2,,1,3,1,,,,,90 minutes,19,5,7,2,13,11,6,1,,4,,,2.84,0.89,1.33,4.75,11,1.37,5,13.5,1.35,5,12,1.32,4.72,10.6
World Cup 2026,Switzerland,Colombia,2026-07-07 00:00:00,21:00:00,1,,,,,,,,4,3,Penalties,7,15,2,3,22,21,3,7,3,2,,,0.38,1.09,3.6,2.88,2.35,3.8,2.98,2.46,3.7,3,2.47,3.48,2.86,2.34
